question|topics
What tranches and quantum of debt are provided for?|tranche,quantum
What is the structure of the call protection offered to lenders?|lender_counsel
Is there a financial maintenance covenant?|financial_maintenance_covenant
Are the addbacks for extraordinary expenses and synergies and restructuring costs capped?|addbacks_cap
At what threshold is the mfn provision set?|mFN_threshold
Are there exceptions to the mfn provision provided?|mFN_exceptions
Does the agreement include pro rata protection for lenders?|lender_counsel
If there is a revolving component, is it cash-flow or borrowing base?|borrower,borrower_counsel
Does the agreement include portability provisions that act as an exception to the change of control?|portability
Does the excess cash flow sweep step down with leverage targets?|effective_date